# Pet export art
#
# 2D model preview PNGs (contact sheets):
#   assets/exports/pets/basic/{pet}_basic.png
#   assets/exports/pets/gold/{pet}_gold.png
#   python3 scripts/build_pet_contact_sheet.py
#
# 3D meshes (2026-06-14 batch):
#   Recommended Roblox import: {stem}_5k.fbx + texture PNG in same folder.
#   Pipeline: bash scripts/decimate_mesh.sh assets/source/pets/<stem>.obj --targets 5000,7500,10000 --output assets/exports/pets/<stem>/
#
# 2026-06-14 lava batch contact sheet:
#   assets/exports/pets/lava_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_lava_pets.txt
#
# 2026-06-14 desert batch contact sheet:
#   assets/exports/pets/desert_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_desert_pets.txt
#
# 2026-06-14 ice batch contact sheet:
#   assets/exports/pets/ice_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_ice_pets.txt
#
# 2026-06-15 premium pets batch (basic + gold):
#   assets/exports/pets/premium_pets_2026-06-15_basic_contact_sheet.png
#   assets/exports/pets/premium_pets_2026-06-15_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-15_premium_pets.txt
#
# 2026-06-16 nature pets batch (basic + gold):
#   assets/exports/pets/nature_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/nature_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_nature_pets.txt
#
# 2026-06-16 sun pets batch (basic + gold):
#   assets/exports/pets/sun_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/sun_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_sun_pets.txt
#
# 2026-06-16 blight pets batch (basic + gold):
#   assets/exports/pets/blight_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/blight_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_blight_pets.txt

#
# 2026-06-23 realm pets batch (basic + gold, 10k budget) — COMPLETE 40 species / 80 meshes:
#   assets/exports/pets/realm_pets_2026-06-23_basic_contact_sheet.png
#   assets/exports/pets/realm_pets_2026-06-23_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-23_realm_pets.txt
#   Upload: {stem}_10k.fbx + {stem}.png (native kept when source <= 10k; worldbloom_ent decimated)
#
pet	variant	source_tris	export_dir	5k	7500tris	10k	texture
aurora_fox	gold	11272	assets/exports/pets/aurora_fox_gold/	5000 tris	7500 tris	10000 tris	aurora_fox_gold.png
frostlight_hare	basic	6988	assets/exports/pets/frostlight_hare_basic/	5000 tris	6988 tris*	6988 tris*	frostlight_hare_basic.png
frostlight_hare	gold	6988	assets/exports/pets/frostlight_hare_gold/	5000 tris	6988 tris*	6988 tris*	frostlight_hare_gold.png
sunmane_lion	basic	19226	assets/exports/pets/sunmane_lion_basic/	5000 tris	7500 tris	10000 tris	sunmane_lion_basic.png
sunmane_lion	gold	19226	assets/exports/pets/sunmane_lion_gold/	5000 tris	7500 tris	10000 tris	sunmane_lion_gold.png
solar_phoenix	basic	17672	assets/exports/pets/solar_phoenix_basic/	5000 tris	7500 tris	10000 tris	solar_phoenix_basic.png
solar_phoenix	gold	17672	assets/exports/pets/solar_phoenix_gold/	5000 tris	7500 tris	10000 tris	solar_phoenix_gold.png
radiant_salamander	basic	18207	assets/exports/pets/radiant_salamander_basic/	5000 tris	7500 tris	10000 tris	radiant_salamander_basic.png
radiant_salamander	gold	18207	assets/exports/pets/radiant_salamander_gold/	5000 tris	7500 tris	10000 tris	radiant_salamander_gold.png
emberling_cherub	basic	12234	assets/exports/pets/emberling_cherub_basic/	5000 tris	7500 tris	10000 tris	emberling_cherub_basic.png
emberling_cherub	gold	12234	assets/exports/pets/emberling_cherub_gold/	5000 tris	7500 tris	10000 tris	emberling_cherub_gold.png
bloomlamb	basic	9110	assets/exports/pets/bloomlamb_basic/	5000 tris	7500 tris	9110 tris*	bloomlamb_basic.png
bloomlamb	gold	9110	assets/exports/pets/bloomlamb_gold/	5000 tris	7500 tris	9110 tris*	bloomlamb_gold.png
worldroot_ent	basic	12026	assets/exports/pets/worldroot_ent_basic/	5000 tris	7500 tris	10000 tris	worldroot_ent_basic.png
worldroot_ent	gold	12026	assets/exports/pets/worldroot_ent_gold/	5000 tris	7500 tris	10000 tris	worldroot_ent_gold.png
verdant_sprite	basic	17182	assets/exports/pets/verdant_sprite_basic/	5000 tris	7500 tris	10000 tris	verdant_sprite_basic.png
verdant_sprite	gold	17182	assets/exports/pets/verdant_sprite_gold/	5000 tris	7500 tris	10000 tris	verdant_sprite_gold.png
goldleaf_stag	basic	12416	assets/exports/pets/goldleaf_stag_basic/	5000 tris	7500 tris	10000 tris	goldleaf_stag_basic.png
goldleaf_stag	gold	12416	assets/exports/pets/goldleaf_stag_gold/	5000 tris	7500 tris	10000 tris	goldleaf_stag_gold.png
halo_hare	basic	14008	assets/exports/pets/halo_hare_basic/	5000 tris	7500 tris	10000 tris	halo_hare_basic.png
halo_hare	gold	14008	assets/exports/pets/halo_hare_gold/	5000 tris	7500 tris	10000 tris	halo_hare_gold.png
solar_roc	basic	11313	assets/exports/pets/solar_roc_basic/	5000 tris	7500 tris	10000 tris	solar_roc_basic.png
solar_roc	gold	11313	assets/exports/pets/solar_roc_gold/	5000 tris	7500 tris	10000 tris	solar_roc_gold.png
dawn_camel	basic	6156	assets/exports/pets/dawn_camel_basic/	5000 tris	6156 tris*	6156 tris*	dawn_camel_basic.png
dawn_camel	gold	6156	assets/exports/pets/dawn_camel_gold/	5000 tris	6156 tris*	6156 tris*	dawn_camel_gold.png
gilded_sphinx	basic	10088	assets/exports/pets/gilded_sphinx_basic/	5000 tris	7500 tris	10000 tris	gilded_sphinx_basic.png
gilded_sphinx	gold	10088	assets/exports/pets/gilded_sphinx_gold/	5000 tris	7500 tris	10000 tris	gilded_sphinx_gold.png
mirage_jackal	basic	8444	assets/exports/pets/mirage_jackal_basic/	5000 tris	7500 tris	8444 tris*	mirage_jackal_basic.png
mirage_jackal	gold	8444	assets/exports/pets/mirage_jackal_gold/	5000 tris	7500 tris	8444 tris*	mirage_jackal_gold.png
sun_scarab	basic	11060	assets/exports/pets/sun_scarab_basic/	5000 tris	7500 tris	10000 tris	sun_scarab_basic.png
sun_scarab	gold	11060	assets/exports/pets/sun_scarab_gold/	5000 tris	7500 tris	10000 tris	sun_scarab_gold.png
wither_sprite	basic	26633	assets/exports/pets/wither_sprite_basic/	5000 tris	7500 tris	10000 tris	wither_sprite_basic.png
wither_sprite	gold	26633	assets/exports/pets/wither_sprite_gold/	5000 tris	7500 tris	10000 tris	wither_sprite_gold.png
ash_roc	basic	19076	assets/exports/pets/ash_roc_basic/	5000 tris	7500 tris	10000 tris	ash_roc_basic.png
ash_roc	gold	19058	assets/exports/pets/ash_roc_gold/	5000 tris	7500 tris	10000 tris	ash_roc_gold.png
dust_camel	basic	18084	assets/exports/pets/dust_camel_basic/	5000 tris	7500 tris	10000 tris	dust_camel_basic.png
dust_camel	gold	18084	assets/exports/pets/dust_camel_gold/	5000 tris	7500 tris	10000 tris	dust_camel_gold.png
glass_sphinx	basic	11794	assets/exports/pets/glass_sphinx_basic/	5000 tris	7500 tris	10000 tris	glass_sphinx_basic.png
glass_sphinx	gold	11794	assets/exports/pets/glass_sphinx_gold/	5000 tris	7500 tris	10000 tris	glass_sphinx_gold.png
phantom_jackal	basic	14014	assets/exports/pets/phantom_jackal_basic/	5000 tris	7500 tris	10000 tris	phantom_jackal_basic.png
phantom_jackal	gold	14014	assets/exports/pets/phantom_jackal_gold/	5000 tris	7500 tris	10000 tris	phantom_jackal_gold.png
carrion_scarab	basic	10816	assets/exports/pets/carrion_scarab_basic/	5000 tris	7500 tris	10000 tris	carrion_scarab_basic.png
carrion_scarab	gold	10816	assets/exports/pets/carrion_scarab_gold/	5000 tris	7500 tris	10000 tris	carrion_scarab_gold.png
gravewood_ent	basic	16990	assets/exports/pets/gravewood_ent_basic/	5000 tris	7500 tris	10000 tris	gravewood_ent_basic.png
gravewood_ent	gold	16990	assets/exports/pets/gravewood_ent_gold/	5000 tris	7500 tris	10000 tris	gravewood_ent_gold.png
rotleaf_stag	basic	13182	assets/exports/pets/rotleaf_stag_basic/	5000 tris	7500 tris	10000 tris	rotleaf_stag_basic.png
rotleaf_stag	gold	13182	assets/exports/pets/rotleaf_stag_gold/	5000 tris	7500 tris	10000 tris	rotleaf_stag_gold.png
dread_hare	basic	14449	assets/exports/pets/dread_hare_basic/	5000 tris	7500 tris	10000 tris	dread_hare_basic.png
dread_hare	gold	14449	assets/exports/pets/dread_hare_gold/	5000 tris	7500 tris	10000 tris	dread_hare_gold.png
blightlamb	basic	14516	assets/exports/pets/blightlamb_basic/	5000 tris	7500 tris	10000 tris	blightlamb_basic.png
blightlamb	gold	14512	assets/exports/pets/blightlamb_gold/	5000 tris	7500 tris	10000 tris	blightlamb_gold.png
abyssal_wyrm	basic	15078	assets/exports/pets/abyssal_wyrm_basic/	5000 tris	7500 tris	10000 tris	abyssal_wyrm_basic.png
abyssal_wyrm	gold	15078	assets/exports/pets/abyssal_wyrm_gold/	5000 tris	7500 tris	10000 tris	abyssal_wyrm_gold.png
brimstone_salamander	basic	10478	assets/exports/pets/brimstone_salamander_basic/	5000 tris	7500 tris	10000 tris	brimstone_salamander_basic.png
brimstone_salamander	gold	10478	assets/exports/pets/brimstone_salamander_gold/	5000 tris	7500 tris	10000 tris	brimstone_salamander_gold.png
ashfeather_phoenix	basic	22337	assets/exports/pets/ashfeather_phoenix_basic/	5000 tris	7500 tris	10000 tris	ashfeather_phoenix_basic.png
ashfeather_phoenix	gold	22337	assets/exports/pets/ashfeather_phoenix_gold/	5000 tris	7500 tris	10000 tris	ashfeather_phoenix_gold.png
ashmane_lion	basic	11892	assets/exports/pets/ashmane_lion_basic/	5000 tris	7500 tris	10000 tris	ashmane_lion_basic.png
ashmane_lion	gold	11892	assets/exports/pets/ashmane_lion_gold/	5000 tris	7500 tris	10000 tris	ashmane_lion_gold.png
rimelight_hare	basic	11962	assets/exports/pets/rimelight_hare_basic/	5000 tris	7500 tris	10000 tris	rimelight_hare_basic.png
rimelight_hare	gold	11962	assets/exports/pets/rimelight_hare_gold/	5000 tris	7500 tris	10000 tris	rimelight_hare_gold.png
black_ice_leviathan	basic	23242	assets/exports/pets/black_ice_leviathan_basic/	5000 tris	7500 tris	10000 tris	black_ice_leviathan_basic.png
black_ice_leviathan	gold	23242	assets/exports/pets/black_ice_leviathan_gold/	5000 tris	7500 tris	10000 tris	black_ice_leviathan_gold.png
black_seraph	basic	16299	assets/exports/pets/black_seraph_basic/	5000 tris	7500 tris	10000 tris	black_seraph_basic.png
black_seraph	gold	16299	assets/exports/pets/black_seraph_gold/	5000 tris	7500 tris	10000 tris	black_seraph_gold.png
dread_owl	basic	11278	assets/exports/pets/dread_owl_basic/	5000 tris	7500 tris	10000 tris	dread_owl_basic.png
dread_owl	gold	11278	assets/exports/pets/dread_owl_gold/	5000 tris	7500 tris	10000 tris	dread_owl_gold.png
rimewraith_fox	basic	10823	assets/exports/pets/rimewraith_fox_basic/	5000 tris	7500 tris	10000 tris	rimewraith_fox_basic.png
rimewraith_fox	gold	10821	assets/exports/pets/rimewraith_fox_gold/	5000 tris	7500 tris	10000 tris	rimewraith_fox_gold.png
cinderling_imp	basic	11848	assets/exports/pets/cinderling_imp_basic/	5000 tris	7500 tris	10000 tris	cinderling_imp_basic.png
cinderling_imp	gold	11848	assets/exports/pets/cinderling_imp_gold/	5000 tris	7500 tris	10000 tris	cinderling_imp_gold.png

coronal_cherub	basic	8300	assets/exports/pets/coronal_cherub_basic/	-	-	8300 tris*	coronal_cherub_basic.png
coronal_cherub	gold	8300	assets/exports/pets/coronal_cherub_gold/	-	-	8300 tris*	coronal_cherub_gold.png
dawnfire_phoenix	basic	7738	assets/exports/pets/dawnfire_phoenix_basic/	-	-	7738 tris*	dawnfire_phoenix_basic.png
dawnfire_phoenix	gold	7738	assets/exports/pets/dawnfire_phoenix_gold/	-	-	7738 tris*	dawnfire_phoenix_gold.png
aurora_dragon	basic	7012	assets/exports/pets/aurora_dragon_basic/	-	-	7012 tris*	aurora_dragon_basic.png
aurora_dragon	gold	7012	assets/exports/pets/aurora_dragon_gold/	-	-	7012 tris*	aurora_dragon_gold.png
glacial_bear	basic	7909	assets/exports/pets/glacial_bear_basic/	-	-	7909 tris*	glacial_bear_basic.png
glacial_bear	gold	7909	assets/exports/pets/glacial_bear_gold/	-	-	7909 tris*	glacial_bear_gold.png
starlight_owl	basic	8186	assets/exports/pets/starlight_owl_basic/	-	-	8186 tris*	starlight_owl_basic.png
starlight_owl	gold	8186	assets/exports/pets/starlight_owl_gold/	-	-	8186 tris*	starlight_owl_gold.png
prism_fox	basic	5083	assets/exports/pets/prism_fox_basic/	-	-	5083 tris*	prism_fox_basic.png
prism_fox	gold	5083	assets/exports/pets/prism_fox_gold/	-	-	5083 tris*	prism_fox_gold.png
frostlight_doe	basic	7880	assets/exports/pets/frostlight_doe_basic/	-	-	7880 tris*	frostlight_doe_basic.png
frostlight_doe	gold	7880	assets/exports/pets/frostlight_doe_gold/	-	-	7880 tris*	frostlight_doe_gold.png
lance_seraph	basic	6719	assets/exports/pets/lance_seraph_basic/	-	-	6719 tris*	lance_seraph_basic.png
lance_seraph	gold	6719	assets/exports/pets/lance_seraph_gold/	-	-	6719 tris*	lance_seraph_gold.png
lumen_salamander	basic	6678	assets/exports/pets/lumen_salamander_basic/	-	-	6678 tris*	lumen_salamander_basic.png
lumen_salamander	gold	6678	assets/exports/pets/lumen_salamander_gold/	-	-	6678 tris*	lumen_salamander_gold.png
prism_lion	basic	5909	assets/exports/pets/prism_lion_basic/	-	-	5909 tris*	prism_lion_basic.png
prism_lion	gold	5909	assets/exports/pets/prism_lion_gold/	-	-	5909 tris*	prism_lion_gold.png
bloomspirit_lamb	basic	8648	assets/exports/pets/bloomspirit_lamb_basic/	-	-	8648 tris*	bloomspirit_lamb_basic.png
bloomspirit_lamb	gold	8648	assets/exports/pets/bloomspirit_lamb_gold/	-	-	8648 tris*	bloomspirit_lamb_gold.png
lightleaf_hare	basic	5260	assets/exports/pets/lightleaf_hare_basic/	-	-	5260 tris*	lightleaf_hare_basic.png
lightleaf_hare	gold	5260	assets/exports/pets/lightleaf_hare_gold/	-	-	5260 tris*	lightleaf_hare_gold.png
crystalbark_stag	basic	6693	assets/exports/pets/crystalbark_stag_basic/	-	-	6693 tris*	crystalbark_stag_basic.png
crystalbark_stag	gold	6693	assets/exports/pets/crystalbark_stag_gold/	-	-	6693 tris*	crystalbark_stag_gold.png
radiant_sprite	basic	6503	assets/exports/pets/radiant_sprite_basic/	-	-	6503 tris*	radiant_sprite_basic.png
radiant_sprite	gold	6503	assets/exports/pets/radiant_sprite_gold/	-	-	6503 tris*	radiant_sprite_gold.png
worldbloom_ent	basic	11949	assets/exports/pets/worldbloom_ent_basic/	-	-	10000 tris	worldbloom_ent_basic.png
worldbloom_ent	gold	11949	assets/exports/pets/worldbloom_ent_gold/	-	-	10000 tris	worldbloom_ent_gold.png
aurora_dove	basic	4888	assets/exports/pets/aurora_dove_basic/	-	-	4888 tris*	aurora_dove_basic.png
aurora_dove	gold	4888	assets/exports/pets/aurora_dove_gold/	-	-	4888 tris*	aurora_dove_gold.png
prism_scarab	basic	5705	assets/exports/pets/prism_scarab_basic/	-	-	5705 tris*	prism_scarab_basic.png
prism_scarab	gold	5705	assets/exports/pets/prism_scarab_gold/	-	-	5705 tris*	prism_scarab_gold.png
mirage_meerkat	basic	7348	assets/exports/pets/mirage_meerkat_basic/	-	-	7348 tris*	mirage_meerkat_basic.png
mirage_meerkat	gold	7348	assets/exports/pets/mirage_meerkat_gold/	-	-	7348 tris*	mirage_meerkat_gold.png
sunwell_camel	basic	8708	assets/exports/pets/sunwell_camel_basic/	-	-	8708 tris*	sunwell_camel_basic.png
sunwell_camel	gold	8708	assets/exports/pets/sunwell_camel_gold/	-	-	8708 tris*	sunwell_camel_gold.png
empyreal_couatl	basic	7969	assets/exports/pets/empyreal_couatl_basic/	-	-	7969 tris*	empyreal_couatl_basic.png
empyreal_couatl	gold	7969	assets/exports/pets/empyreal_couatl_gold/	-	-	7969 tris*	empyreal_couatl_gold.png
frostcinder_imp	basic	6833	assets/exports/pets/frostcinder_imp_basic/	-	-	6833 tris*	frostcinder_imp_basic.png
frostcinder_imp	gold	6833	assets/exports/pets/frostcinder_imp_gold/	-	-	6833 tris*	frostcinder_imp_gold.png
rimemane_lion	basic	5840	assets/exports/pets/rimemane_lion_basic/	-	-	5840 tris*	rimemane_lion_basic.png
rimemane_lion	gold	5840	assets/exports/pets/rimemane_lion_gold/	-	-	5840 tris*	rimemane_lion_gold.png
hoarfrost_phoenix	basic	7755	assets/exports/pets/hoarfrost_phoenix_basic/	-	-	7755 tris*	hoarfrost_phoenix_basic.png
hoarfrost_phoenix	gold	7755	assets/exports/pets/hoarfrost_phoenix_gold/	-	-	7755 tris*	hoarfrost_phoenix_gold.png
frostbrand_salamander	basic	8442	assets/exports/pets/frostbrand_salamander_basic/	-	-	8442 tris*	frostbrand_salamander_basic.png
frostbrand_salamander	gold	8442	assets/exports/pets/frostbrand_salamander_gold/	-	-	8442 tris*	frostbrand_salamander_gold.png
deadfire_phoenix	basic	5870	assets/exports/pets/deadfire_phoenix_basic/	-	-	5870 tris*	deadfire_phoenix_basic.png
deadfire_phoenix	gold	5870	assets/exports/pets/deadfire_phoenix_gold/	-	-	5870 tris*	deadfire_phoenix_gold.png
frostblight_lamb	basic	8579	assets/exports/pets/frostblight_lamb_basic/	-	-	8579 tris*	frostblight_lamb_basic.png
frostblight_lamb	gold	8579	assets/exports/pets/frostblight_lamb_gold/	-	-	8579 tris*	frostblight_lamb_gold.png
gloom_hare	basic	5735	assets/exports/pets/gloom_hare_basic/	-	-	5735 tris*	gloom_hare_basic.png
gloom_hare	gold	5735	assets/exports/pets/gloom_hare_gold/	-	-	5735 tris*	gloom_hare_gold.png
icerot_stag	basic	6715	assets/exports/pets/icerot_stag_basic/	-	-	6715 tris*	icerot_stag_basic.png
icerot_stag	gold	6715	assets/exports/pets/icerot_stag_gold/	-	-	6715 tris*	icerot_stag_gold.png
rimewither_sprite	basic	9609	assets/exports/pets/rimewither_sprite_basic/	-	-	9609 tris*	rimewither_sprite_basic.png
rimewither_sprite	gold	9609	assets/exports/pets/rimewither_sprite_gold/	-	-	9609 tris*	rimewither_sprite_gold.png
wraith_dove	basic	6715	assets/exports/pets/wraith_dove_basic/	-	-	6715 tris*	wraith_dove_basic.png
wraith_dove	gold	6715	assets/exports/pets/wraith_dove_gold/	-	-	6715 tris*	wraith_dove_gold.png
rime_scarab	basic	6287	assets/exports/pets/rime_scarab_basic/	-	-	6287 tris*	rime_scarab_basic.png
rime_scarab	gold	6287	assets/exports/pets/rime_scarab_gold/	-	-	6287 tris*	rime_scarab_gold.png
gloom_jackal	basic	7773	assets/exports/pets/gloom_jackal_basic/	-	-	7773 tris*	gloom_jackal_basic.png
gloom_jackal	gold	7773	assets/exports/pets/gloom_jackal_gold/	-	-	7773 tris*	gloom_jackal_gold.png
frostdust_camel	basic	6524	assets/exports/pets/frostdust_camel_basic/	-	-	6524 tris*	frostdust_camel_basic.png
frostdust_camel	gold	6524	assets/exports/pets/frostdust_camel_gold/	-	-	6524 tris*	frostdust_camel_gold.png
dread_couatl	basic	8640	assets/exports/pets/dread_couatl_basic/	-	-	8640 tris*	dread_couatl_basic.png
dread_couatl	gold	8640	assets/exports/pets/dread_couatl_gold/	-	-	8640 tris*	dread_couatl_gold.png
* below target — source mesh already under budget; export kept at native count

source_manifest: assets/source/pets/manifest.txt
download:
  grumpy_cat: ~/Downloads/Meshy_AI_Grumpy Nightbat_1781457563_texture.zip (renamed from Nightbat)
  cube_dog: ~/Downloads/Meshy_AI_Crimson Eyed Cube Dog_1781457955_texture.zip
  raven: ~/Downloads/Meshy_AI_Red-Eyed Raven_1781457967_texture.zip
  jackalope: ~/Downloads/Meshy_AI_Midnight Horned Rabbit_1781458991_texture.zip (renamed from Midnight Horned Rabbit)
  ember_moth: ~/Downloads/Ember Moth.zip + Ember Moth.png (preview)
  magma_wyrm: ~/Downloads/Magma Wyrm.zip + Magma Wyrm.png (preview)
  molten_rhino: ~/Downloads/molten rhino.zip + molten rhino.png (preview)
  cinder_whelp: ~/Downloads/Cinder Whelp.zip + Cinder Whelp.png (preview)
  carrion_vulture: ~/Downloads/CarrionVulture.zip + CarrionVulture.png (preview)
  golden_scarab: ~/Downloads/GoldenScarab.zip + GoldenScarab.png (preview)
  sand_scorpion: ~/Downloads/SandScorpion.zip + SandScorpion.png (preview)
  dune_tortoise: ~/Downloads/DuneTortoise.zip + DuneTortoise.png (preview)
  sand_jackal: ~/Downloads/SandJackal.zip + SandJackal.png (preview)
  snowy_owl: ~/Downloads/SnowyOwl.zip + SnowyOwl.png (preview)
  glacial_mammoth: ~/Downloads/GlacialMammoth.zip + GlacialMammoth.png (preview)
  glacial_leviathan: ~/Downloads/GlacialLeviathan.zip + GlacialLeviathan.png (preview)
  aurora_seal: ~/Downloads/AuroraSeal.zip + AuroraSeal.png (preview)
  frost_fox: ~/Downloads/FrostFox.zip + FrostFox.png (preview)
  empyrean_dragon: ~/Downloads/Empyrean Dragon.zip + Empyrean Dragon.png / Empyrean Dragon Gold.zip + Empyrean Dragon Gold.png
  aurora_leviathan: ~/Downloads/Aurora Leviathan.zip + Aurora Leviathan.png / Aurora Leviathan Gold.zip + Aurora Leviathan Gold.png
