# All game pets — preview contact sheets (gold manifest section)
# Source of truth: configs/pets.lua (96 species)
# Preview PNGs: assets/exports/pets/{basic|gold}/{pet_id}_{variant}.png

basic_contact_sheet: assets/exports/pets/all_game_pets_2026-06-24_gold_contact_sheet.png
gold_contact_sheet: assets/exports/pets/all_game_pets_2026-06-24_gold_contact_sheet.png

pet_id	display_name	category	realm	origin	section	basic_preview	gold_preview
snowflakeowl	Snowflake Owl	ice	-	-	ICE FAMILY (BasicIce egg). Ice-biome pets; same scale/framing as the ember family.	assets/exports/pets/basic/snowflakeowl_basic.png	assets/exports/pets/gold/snowflakeowl_gold.png
snowfox	Snow Fox	ice	-	-	ICE FAMILY (BasicIce egg). Ice-biome pets; same scale/framing as the ember family.	assets/exports/pets/basic/snowfox_basic.png	assets/exports/pets/gold/snowfox_gold.png
penguin	Penguin	ice	-	-	ICE FAMILY (BasicIce egg). Ice-biome pets; same scale/framing as the ember family.	assets/exports/pets/basic/penguin_basic.png	assets/exports/pets/gold/penguin_gold.png
snowleopard	Snow Leopard	ice	-	-	ICE FAMILY (BasicIce egg). Ice-biome pets; same scale/framing as the ember family.	assets/exports/pets/basic/snowleopard_basic.png	assets/exports/pets/gold/snowleopard_gold.png
polarbear	Polar Bear	ice	-	-	ICE FAMILY (BasicIce egg). Ice-biome pets; same scale/framing as the ember family.	assets/exports/pets/basic/polarbear_basic.png	assets/exports/pets/gold/polarbear_gold.png
fennec	Fennec	desert	-	-	SAND FAMILY (BasicSand egg). Desert-biome pets; same scale/framing as ember/ice.	assets/exports/pets/basic/fennec_basic.png	assets/exports/pets/gold/fennec_gold.png
camel	Camel	desert	-	-	SAND FAMILY (BasicSand egg). Desert-biome pets; same scale/framing as ember/ice.	assets/exports/pets/basic/camel_basic.png	assets/exports/pets/gold/camel_gold.png
meerkat	Meerkat	desert	-	-	SAND FAMILY (BasicSand egg). Desert-biome pets; same scale/framing as ember/ice.	assets/exports/pets/basic/meerkat_basic.png	assets/exports/pets/gold/meerkat_gold.png
desertiguana	Desert Iguana	desert	-	-	SAND FAMILY (BasicSand egg). Desert-biome pets; same scale/framing as ember/ice.	assets/exports/pets/basic/desertiguana_basic.png	assets/exports/pets/gold/desertiguana_gold.png
scorpion	Scorpion	desert	-	-	SAND FAMILY (BasicSand egg). Desert-biome pets; same scale/framing as ember/ice.	assets/exports/pets/basic/scorpion_basic.png	assets/exports/pets/gold/scorpion_gold.png
dragon	Dragon	mythical	-	-	DRAGON FAMILY	assets/exports/pets/basic/dragon_basic.png	assets/exports/pets/gold/dragon_gold.png
emberling_cherub	Emberling Cherub	heaven	heaven	-	--- HEAVEN FIRE (solar) ---	assets/exports/pets/basic/emberling_cherub_basic.png	assets/exports/pets/gold/emberling_cherub_gold.png
sunmane_lion	Sunmane Lion	heaven	heaven	-	--- HEAVEN FIRE (solar) ---	assets/exports/pets/basic/sunmane_lion_basic.png	assets/exports/pets/gold/sunmane_lion_gold.png
solar_phoenix	Solar Phoenix	heaven	heaven	-	--- HEAVEN FIRE (solar) ---	assets/exports/pets/basic/solar_phoenix_basic.png	assets/exports/pets/gold/solar_phoenix_gold.png
radiant_salamander	Radiant Salamander	heaven	heaven	-	--- HEAVEN FIRE (solar) ---	assets/exports/pets/basic/radiant_salamander_basic.png	assets/exports/pets/gold/radiant_salamander_gold.png
empyrean_dragon	Empyrean Dragon	heaven	heaven	-	--- HEAVEN FIRE (solar) ---	assets/exports/pets/basic/empyrean_dragon_basic.png	assets/exports/pets/gold/empyrean_dragon_gold.png
frostlight_hare	Frostlight Hare	heaven	heaven	-	--- HEAVEN ICE (aurora) ---	assets/exports/pets/basic/frostlight_hare_basic.png	assets/exports/pets/gold/frostlight_hare_gold.png
aurora_fox	Aurora Fox	heaven	heaven	-	--- HEAVEN ICE (aurora) ---	assets/exports/pets/basic/aurora_fox_basic.png	assets/exports/pets/gold/aurora_fox_gold.png
seraph_owl	Seraph Owl	heaven	heaven	-	--- HEAVEN ICE (aurora) ---	assets/exports/pets/basic/seraph_owl_basic.png	assets/exports/pets/gold/seraph_owl_gold.png
glacial_seraph	Glacial Seraph	heaven	heaven	-	--- HEAVEN ICE (aurora) ---	assets/exports/pets/basic/glacial_seraph_basic.png	assets/exports/pets/gold/glacial_seraph_gold.png
aurora_leviathan	Aurora Leviathan	heaven	heaven	-	--- HEAVEN ICE (aurora) ---	assets/exports/pets/basic/aurora_leviathan_basic.png	assets/exports/pets/gold/aurora_leviathan_gold.png
bloomlamb	Bloomlamb	heaven	heaven	-	--- HEAVEN GRASS (bloom) ---	assets/exports/pets/basic/bloomlamb_basic.png	assets/exports/pets/gold/bloomlamb_gold.png
halo_hare	Halo Hare	heaven	heaven	-	--- HEAVEN GRASS (bloom) ---	assets/exports/pets/basic/halo_hare_basic.png	assets/exports/pets/gold/halo_hare_gold.png
goldleaf_stag	Goldleaf Stag	heaven	heaven	-	--- HEAVEN GRASS (bloom) ---	assets/exports/pets/basic/goldleaf_stag_basic.png	assets/exports/pets/gold/goldleaf_stag_gold.png
verdant_sprite	Verdant Sprite	heaven	heaven	-	--- HEAVEN GRASS (bloom) ---	assets/exports/pets/basic/verdant_sprite_basic.png	assets/exports/pets/gold/verdant_sprite_gold.png
worldroot_ent	Worldroot Ent	heaven	heaven	-	--- HEAVEN GRASS (bloom) ---	assets/exports/pets/basic/worldroot_ent_basic.png	assets/exports/pets/gold/worldroot_ent_gold.png
sun_scarab	Sun Scarab	heaven	heaven	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/sun_scarab_basic.png	assets/exports/pets/gold/sun_scarab_gold.png
mirage_jackal	Mirage Jackal	heaven	heaven	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/mirage_jackal_basic.png	assets/exports/pets/gold/mirage_jackal_gold.png
dawn_camel	Dawn Camel	heaven	heaven	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/dawn_camel_basic.png	assets/exports/pets/gold/dawn_camel_gold.png
gilded_sphinx	Gilded Sphinx	heaven	heaven	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/gilded_sphinx_basic.png	assets/exports/pets/gold/gilded_sphinx_gold.png
solar_roc	Solar Roc	heaven	heaven	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/solar_roc_basic.png	assets/exports/pets/gold/solar_roc_gold.png
cinderling_imp	Cinderling Imp	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/cinderling_imp_basic.png	assets/exports/pets/gold/cinderling_imp_gold.png
brimstone_salamander	Brimstone Salamander	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/brimstone_salamander_basic.png	assets/exports/pets/gold/brimstone_salamander_gold.png
ashmane_lion	Ashmane Lion	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/ashmane_lion_basic.png	assets/exports/pets/gold/ashmane_lion_gold.png
ashfeather_phoenix	Ashfeather Phoenix	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/ashfeather_phoenix_basic.png	assets/exports/pets/gold/ashfeather_phoenix_gold.png
abyssal_wyrm	Abyssal Wyrm	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/abyssal_wyrm_basic.png	assets/exports/pets/gold/abyssal_wyrm_gold.png
carrion_scarab	Carrion Scarab	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/carrion_scarab_basic.png	assets/exports/pets/gold/carrion_scarab_gold.png
phantom_jackal	Phantom Jackal	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/phantom_jackal_basic.png	assets/exports/pets/gold/phantom_jackal_gold.png
dust_camel	Dust Camel	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/dust_camel_basic.png	assets/exports/pets/gold/dust_camel_gold.png
glass_sphinx	Glass Sphinx	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/glass_sphinx_basic.png	assets/exports/pets/gold/glass_sphinx_gold.png
ash_roc	Ash Roc	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/ash_roc_basic.png	assets/exports/pets/gold/ash_roc_gold.png
rimelight_hare	Rimelight Hare	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/rimelight_hare_basic.png	assets/exports/pets/gold/rimelight_hare_gold.png
rimewraith_fox	Rimewraith Fox	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/rimewraith_fox_basic.png	assets/exports/pets/gold/rimewraith_fox_gold.png
dread_owl	Dread Owl	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/dread_owl_basic.png	assets/exports/pets/gold/dread_owl_gold.png
black_seraph	Black Seraph	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/black_seraph_basic.png	assets/exports/pets/gold/black_seraph_gold.png
black_ice_leviathan	Black-Ice Leviathan	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/black_ice_leviathan_basic.png	assets/exports/pets/gold/black_ice_leviathan_gold.png
blightlamb	Blightlamb	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/blightlamb_basic.png	assets/exports/pets/gold/blightlamb_gold.png
dread_hare	Dread Hare	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/dread_hare_basic.png	assets/exports/pets/gold/dread_hare_gold.png
rotleaf_stag	Rotleaf Stag	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/rotleaf_stag_basic.png	assets/exports/pets/gold/rotleaf_stag_gold.png
wither_sprite	Wither Sprite	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/wither_sprite_basic.png	assets/exports/pets/gold/wither_sprite_gold.png
gravewood_ent	Gravewood Ent	hell	hell	-	REALM PETS (Heaven Desert + Hell) — generated, scripts/gen_realm_content.py	assets/exports/pets/basic/gravewood_ent_basic.png	assets/exports/pets/gold/gravewood_ent_gold.png

# Missing gold previews (1):
#   emberimp
